FIPS,State,County,effect_Cost_Per_Meal_on_obesity,effect_Cost_Per_Meal_on_diabetes,effect_Cost_Per_Meal_on_TOT,effect_SNAP_Participation_Rate_Pct_on_obesity,effect_SNAP_Participation_Rate_Pct_on_diabetes,effect_SNAP_Participation_Rate_Pct_on_TOT,effect_Median_Household_Income_on_obesity,effect_Median_Household_Income_on_diabetes,effect_Median_Household_Income_on_TOT,effect_pct_households_no_vehicle_on_obesity,effect_pct_households_no_vehicle_on_diabetes,effect_pct_households_no_vehicle_on_TOT,effect_No_SNAP_Below_Poverty_Gap_on_obesity,effect_No_SNAP_Below_Poverty_Gap_on_diabetes,effect_No_SNAP_Below_Poverty_Gap_on_TOT
47177,TN,Warren,3.557800880310797,-1.9997662935393068,1536.6653057227472,0.05154519138136529,0.03871051734268775,-24.764736526478714,-0.00022507881800893915,-0.00021239868443746852,-0.12001291101430717,12.832312712717837,-1.3468760938667037,-4836.897078794052,-0.0002068931675824374,-2.520256062155157e-05,-0.0019331462995327581
48143,TX,Erath,4.02931965614882,-2.8117815649931543,921.3789617635533,0.10951475951608901,0.10706053593484052,25.595499668689133,-0.0002808594586222392,-0.0002605711009699903,-0.043679806345279876,4.447659206092245,3.4703827983699607,-2562.062945031172,-0.00011838052180397134,4.105138805805993e-05,0.057077511325916645
42011,PA,Berks,5.015592605552798,0.3121333863149336,1127.1162876709868,0.17576339358093118,-5.781732789104932e-05,-0.8925532274768417,-0.0004339268625170032,-0.00014661299304145336,0.05445606415708942,4.24235319271192,-5.872301033597766,-6471.602252842771,-0.00013172018579680756,-4.4823809299663927e-05,-0.009123974965004694
42019,PA,Butler,4.886906866843355,-0.3227025588521504,281.043504822287,0.13289995730409804,-0.02484598245022047,-14.341557877337232,-4.7084959120888456e-05,-9.51442038121872e-05,-0.02313524191605304,6.601912497868958,-5.952061531111112,-6344.3476485037645,-0.00019364798842293643,-5.2110840439584565e-05,-0.039479421850124756
42105,PA,Potter,1.4978028035350028,-0.49419357000018116,-272.76026531797345,0.030915361382736838,-0.01461847548965408,-1.1095587519892613,0.00013989871816472865,-6.089665382322496e-05,-0.07748580270416784,19.784522064992885,-0.03440464921386077,1334.1522828510283,-0.00023070172829056844,-8.819944935635325e-05,-0.033337822429653864
42115,PA,Susquehanna,2.8855058986514153,0.006625533313359133,-648.9566386769374,0.09707242217152051,-0.03346082838258004,-10.750453156333904,0.00015662029417396947,-7.799746170762556e-05,-0.07531022650801966,17.496920466787234,-0.7632900085592411,388.8224415538291,-0.00020867663087209703,-6.173836757622483e-05,-0.019312876917079967
26017,MI,Bay,-0.6528307825800548,-3.0309889687474296,576.5340128150453,0.06262469015427569,0.03630572024042399,-12.669598511972232,-0.00012342929771234034,-0.00012533841251817805,-0.029182266601338026,11.43305907136247,2.052964517519651,604.1748885842344,-0.00012704720541616564,-2.9464786686914912e-05,0.02185809934615754
48163,TX,Frio,4.022774178044749,-4.164369208382972,2060.9761022126204,0.0727638695054026,0.16176922251898118,15.760759575405864,-0.0003743152255105363,-0.00032094107595119525,-0.0951911788023698,3.7141140410700784,5.941848474956396,-3888.1759835368057,-0.0001414180567597182,6.797264913165761e-05,0.07567336579121425
48165,TX,Gaines,7.7816741126996165,-2.0103857070192435,4624.300626134913,0.07864005484327213,0.05175045017008342,-43.6078963433372,-0.0005205765242946017,-9.431806419303431e-05,-0.10942243559197312,-8.821547668290465,-15.70361650075965,-20307.53439280791,-0.0002742586914549181,-7.670779440586183e-05,-0.14748264983233347
28047,MS,Harrison,5.633293018741053,-0.6805721691406951,3152.9175149879193,0.15979700009602443,0.05954981579922364,-33.65967852883138,-0.0004672836175209792,-0.0002439458796358615,-0.06827175545972819,6.418560854245251,-1.5663738740780344,-7182.777955563783,-0.00020007628531944948,3.998849372222528e-06,0.02709532307894033
