FIPS,AE_latent_1,AE_latent_2,AE_latent_3,AE_latent_4
6071,-1.8720292,5.224561,2.3376312,-0.0962359
6073,-2.158759,8.559571,5.0016503,-0.30613205
6075,-1.042994,5.3734026,10.955044,-1.9029084
6077,0.13092293,2.7036042,3.1169643,-0.35979095
6079,1.9702549,4.7763205,6.1640067,-1.2556065
6081,1.5381199,4.662435,6.6525183,-0.7692528
6083,1.3716545,4.4619927,5.2291718,-1.9578224
6085,0.15451695,5.936882,5.7745776,-0.63246226
6087,2.1429882,4.5840907,7.2933536,-0.7540692
6089,1.7440951,4.2731977,5.435398,-2.1211421
6093,1.9498353,3.5162976,5.2646646,-2.1376028
6095,0.62083435,2.8250592,3.30134,-0.7215593
6097,1.8362882,4.5372486,6.6173716,-0.9614718
6099,0.48461127,3.0544994,3.624936,-0.77763534
6101,1.1432817,2.6144962,3.5076673,-1.4750152
6103,1.3074905,3.3031268,3.9474602,-1.8604137
6105,2.1531022,2.1293108,5.4058,-1.6015414
6107,1.0626581,3.4686027,3.532649,-1.7566739
6109,1.6444814,2.6414459,4.9309964,-0.8150741
6111,0.9217104,4.345717,4.5638423,-1.0666993
6113,1.120528,3.977482,5.0498757,-1.6473838
6115,0.44182503,1.623809,2.1308794,-1.0256709
8001,0.46170962,3.0438747,2.9072661,-0.8587543
8003,2.3126166,4.9888115,6.8754168,-2.5115676
8005,0.7374079,3.8478017,4.099811,-1.0498096
8013,1.6818477,5.1054816,6.395214,-1.2651435
8014,1.7123978,3.6281865,4.606936,-1.0716858
8015,2.7850351,3.4843156,5.090398,-2.3312268
8021,2.3074448,3.273055,5.7137966,-1.6834766
8029,1.4743382,3.0087543,3.8118525,-1.7422715
8031,0.13600446,5.1973643,5.717734,-1.3950717
8035,1.554187,3.6302328,4.2698946,-0.7305839
8037,2.4322653,4.15426,6.7545958,-1.5343664
8041,0.87330365,4.445812,3.9221778,-1.3476819
8043,1.233305,3.059747,3.2037764,-1.5918463
8045,1.0454066,2.3422046,3.4871194,-0.72277236
8049,2.7841253,3.9436824,6.337855,-0.8675952
8051,2.2277799,3.356477,4.1710024,-2.0815253
8055,2.3387282,2.8616705,4.556371,-2.2032588
8059,1.1206833,4.1737514,4.4760876,-0.9378573
8063,2.1659484,3.2947943,4.7212796,-3.0127978
8067,2.5464485,4.453901,6.0352325,-1.5387758
8069,1.2161759,4.6163607,4.666371,-1.2124628
8071,1.7225825,3.4419663,4.6388483,-2.5653086
8077,1.5196185,4.333935,4.601845,-2.2282054
8083,1.976155,3.5115411,4.7008147,-2.1779826
8085,2.0600462,3.8180346,4.787653,-1.7848583
8087,1.2034812,2.7223604,3.2562528,-2.1719131
8091,3.8377266,0.9768613,7.112088,-1.7360693
8093,1.4316362,1.5918596,4.122162,0.43839356
8095,2.5138988,2.369113,5.2504086,-2.7906446
8097,2.7828994,4.727676,7.103655,-1.546476
8101,0.9066026,3.7149448,3.5278153,-2.0745456
8107,3.171799,4.4932876,7.0898604,-1.4238616
8109,3.1123357,2.9528306,6.084756,-2.8528643
8113,2.5379446,3.5867825,8.318123,-3.4572418
8117,3.0897303,4.5639734,7.2585545,-1.3043696
8119,1.3137668,1.9904958,3.142489,-0.6506444
8123,0.9822521,3.2560382,3.3704638,-0.9247047
8125,2.0857155,3.7450914,4.489534,-3.0047908
10001,0.7644569,2.7138662,2.9693744,-1.6490837
10003,0.67472017,4.1304216,4.680181,-1.4426972
10005,1.275362,3.138144,3.6738908,-1.0464785
11001,-1.9468169,5.3095317,10.52573,-2.4674358
12001,0.7063978,5.2372055,5.6527305,-1.7145897
12003,0.77700186,1.8269479,2.0228913,-1.235094
12005,1.4412336,3.4931667,4.0350723,-1.5668582
12007,0.43889135,1.6275144,1.9766135,-0.98738897
12009,0.7251227,4.3497577,4.26166,-1.154906
12011,-1.7245326,7.3378696,5.1177435,-0.06640431
12015,1.1169525,3.3726676,3.8136864,-1.1065836
12017,0.93655133,3.1239154,3.3482926,-1.0706967
12019,0.7842871,2.4034429,2.6141367,-0.66816497
12021,1.2396396,4.3491106,5.2172093,-0.8984617
12023,1.001888,2.737717,2.9215107,-1.6377362
12027,0.5398371,1.9465042,2.6647336,-1.305956
12029,1.7102334,3.1060717,3.403636,-1.8683761
12031,-0.16835307,5.474276,4.615805,-1.3460208
12033,0.7911829,3.867681,4.0198717,-1.8009728
12035,1.4242668,3.2237062,4.144924,-0.9786098
12037,2.17409,3.2730696,5.9233913,-2.746509
12039,-0.029068097,1.9263293,2.6167696,-1.6898903
12041,0.6427063,1.7416492,2.5806916,-1.1089483
12049,0.9208709,2.0204184,2.467947,-1.8302413
12051,0.3879949,1.4342743,2.2837305,-1.4459895
12053,0.5890902,2.3529658,2.558717,-0.7886306
12055,1.1751422,3.445499,3.7632365,-1.7162076
12057,-0.8633807,5.78367,4.3535886,-0.44683173
12059,0.46751106,0.84412366,0.8017836,-0.7083045
12061,1.6318446,3.8091686,4.827701,-1.4457355
12063,1.1492007,2.3651133,2.599863,-1.362087
12069,0.6202756,3.0229363,3.0579166,-0.7187966
12071,-0.11777018,4.6847,4.0328183,-0.49357042
12073,0.9139663,5.019578,5.1606517,-1.7775544
12075,0.9623568,1.8529695,2.8093998,-1.1744356
12079,0.83234894,1.9063387,2.8861678,-1.3680662
12081,0.9527844,3.871019,4.2896247,-0.9031246
12083,0.5851487,3.6745124,3.445368,-1.1644667
12085,1.5940695,3.370914,5.073358,-0.7655972
12086,-2.6619503,8.068519,5.719256,0.11104205
12087,2.7784278,4.5803156,7.8169203,-1.9041585
12089,1.3896323,2.8826566,3.8491526,-0.5410595
12091,1.3101525,3.273767,3.6902485,-1.1642627
12093,1.2527417,2.0510645,3.1222785,-1.3978815
12095,-0.7347057,5.8433414,4.401251,-0.5203216
12097,0.14829065,2.116092,2.2033494,-0.27020934
12099,-0.49818087,6.787459,5.818427,-0.4224138
12101,0.16991676,3.5488458,3.2865088,-0.49916944
12103,-0.041121468,5.813423,5.437406,-0.98446274
12105,-0.23894368,3.8643384,3.080845,-0.63390577
12107,0.572322,2.2656507,2.744122,-1.3021768
12109,1.6097941,3.8976555,4.9043794,-0.71211374
12111,0.6862236,3.0533035,3.1867146,-0.8934264
12113,1.0582542,2.7475567,3.236726,-0.6005744
12115,1.3400569,4.726236,5.448484,-1.0097586
12117,1.0647033,3.8727827,4.2577705,-0.94107044
12119,1.3279984,2.9512753,3.6217268,-0.7557775
12121,0.7310922,2.0380006,2.4307885,-1.3760334
12123,1.1306701,3.080779,3.5737522,-2.5047266
12127,0.45673978,4.018763,3.896256,-0.97368014
12131,1.6416304,3.1706524,4.7099557,-0.5536715
12133,0.3188094,0.7008237,0.46221012,-0.49495026
13001,0.8432698,2.2004187,2.5385716,-1.7260159
13005,0.94454885,2.0959136,3.1027644,-2.0000877
13009,1.0096045,3.0726178,3.9826164,-1.7645437
13013,0.94695497,1.9889454,2.6501958,-0.34951547
13015,1.1525719,2.429148,2.7628253,-0.89964175
13019,1.4942971,2.8391728,3.162755,-1.6101862
13021,0.71296215,3.6822107,4.6851473,-2.408674
13027,1.14431,2.919458,4.12011,-1.9508716
13029,1.313235,2.1999807,3.5025668,-0.5249028
13031,1.0575734,3.2253475,3.5054321,-1.5533983
13039,1.1980083,2.4672682,3.1937127,-1.1910756
