fips,state_abbr,min_wage_2023
39041,OH,10.1
39045,OH,10.1
39079,OH,10.1
39061,OH,10.1
39081,OH,10.1
39059,OH,10.1
39067,OH,10.1
39071,OH,10.1
39099,OH,10.1
39097,OH,10.1
39087,OH,10.1
39133,OH,10.1
39113,OH,10.1
39139,OH,10.1
39119,OH,10.1
39135,OH,10.1
39121,OH,10.1
39131,OH,10.1
39125,OH,10.1
39161,OH,10.1
39157,OH,10.1
39143,OH,10.1
39155,OH,10.1
40037,OK,7.25
40021,OK,7.25
39167,OH,10.1
40049,OK,7.25
40047,OK,7.25
40013,OK,7.25
40015,OK,7.25
40039,OK,7.25
40031,OK,7.25
40019,OK,7.25
40035,OK,7.25
40051,OK,7.25
39171,OH,10.1
39175,OH,10.1
40043,OK,7.25
40023,OK,7.25
40041,OK,7.25
40003,OK,7.25
40001,OK,7.25
40011,OK,7.25
40007,OK,7.25
40025,OK,7.25
40009,OK,7.25
40045,OK,7.25
40005,OK,7.25
40029,OK,7.25
40033,OK,7.25
40065,OK,7.25
40077,OK,7.25
40063,OK,7.25
40097,OK,7.25
40101,OK,7.25
40099,OK,7.25
40081,OK,7.25
40069,OK,7.25
40071,OK,7.25
40079,OK,7.25
40087,OK,7.25
40089,OK,7.25
40091,OK,7.25
40073,OK,7.25
40075,OK,7.25
40107,OK,7.25
40059,OK,7.25
40095,OK,7.25
40105,OK,7.25
40067,OK,7.25
40083,OK,7.25
40103,OK,7.25
40085,OK,7.25
40061,OK,7.25
40093,OK,7.25
40057,OK,7.25
40055,OK,7.25
40053,OK,7.25
40143,OK,7.25
40119,OK,7.25
40113,OK,7.25
40145,OK,7.25
40131,OK,7.25
40133,OK,7.25
40141,OK,7.25
40121,OK,7.25
40115,OK,7.25
40117,OK,7.25
40135,OK,7.25
40129,OK,7.25
40127,OK,7.25
40137,OK,7.25
40111,OK,7.25
40123,OK,7.25
40139,OK,7.25
41033,OR,14.2
41027,OR,14.2
41031,OR,14.2
41025,OR,14.2
40151,OK,7.25
40149,OK,7.25
41037,OR,14.2
41045,OR,14.2
40153,OK,7.25
41021,OR,14.2
41049,OR,14.2
42003,PA,7.25
41057,OR,14.2
41061,OR,14.2
41055,OR,14.2
41069,OR,14.2
42001,PA,7.25
42125,PA,7.25
42017,PA,7.25
42079,PA,7.25
44001,RI,13.0
42005,PA,7.25
42121,PA,7.25
44003,RI,13.0
42007,PA,7.25
42095,PA,7.25
42045,PA,7.25
42049,PA,7.25
42071,PA,7.25
42129,PA,7.25
42091,PA,7.25
42101,PA,7.25
42077,PA,7.25
42025,PA,7.25
42111,PA,7.25
42011,PA,7.25
42013,PA,7.25
42047,PA,7.25
42021,PA,7.25
42085,PA,7.25
42019,PA,7.25
42051,PA,7.25
42103,PA,7.25
42029,PA,7.25
42037,PA,7.25
42039,PA,7.25
42081,PA,7.25
42133,PA,7.25
42089,PA,7.25
42041,PA,7.25
42073,PA,7.25
42031,PA,7.25
42105,PA,7.25
42123,PA,7.25
42069,PA,7.25
42107,PA,7.25
42055,PA,7.25
42035,PA,7.25
42087,PA,7.25
42043,PA,7.25
42063,PA,7.25
42119,PA,7.25
42075,PA,7.25
42115,PA,7.25
42127,PA,7.25
42033,PA,7.25
42083,PA,7.25
42061,PA,7.25
42099,PA,7.25
42131,PA,7.25
42015,PA,7.25
42065,PA,7.25
42027,PA,7.25
42097,PA,7.25
42009,PA,7.25
42057,PA,7.25
42053,PA,7.25
42117,PA,7.25
42113,PA,7.25
42059,PA,7.25
42093,PA,7.25
42109,PA,7.25
42067,PA,7.25
42023,PA,7.25
45009,SC,7.25
45025,SC,7.25
45029,SC,7.25
45049,SC,7.25
45057,SC,7.25
45053,SC,7.25
45061,SC,7.25
45069,SC,7.25
46083,SD,10.8
46081,SD,10.8
46099,SD,10.8
46007,SD,10.8
46097,SD,10.8
46029,SD,10.8
46053,SD,10.8
45089,SC,7.25
46077,SD,10.8
46103,SD,10.8
46093,SD,10.8
46057,SD,10.8
46065,SD,10.8
46011,SD,10.8
45087,SC,7.25
46017,SD,10.8
46005,SD,10.8
46102,SD,10.8
46067,SD,10.8
46101,SD,10.8
46059,SD,10.8
46061,SD,10.8
46063,SD,10.8
46041,SD,10.8
46045,SD,10.8
46037,SD,10.8
46015,SD,10.8
46079,SD,10.8
46039,SD,10.8
46013,SD,10.8
46087,SD,10.8
46035,SD,10.8
46031,SD,10.8
46019,SD,10.8
46047,SD,10.8
46025,SD,10.8
46027,SD,10.8
46021,SD,10.8
46095,SD,10.8
46009,SD,10.8
46091,SD,10.8
46023,SD,10.8
46043,SD,10.8
46071,SD,10.8
46055,SD,10.8
46069,SD,10.8
46003,SD,10.8
46073,SD,10.8
46089,SD,10.8
46051,SD,10.8
46033,SD,10.8
46085,SD,10.8
46075,SD,10.8
46049,SD,10.8
47043,TN,7.25
47037,TN,7.25
46109,SD,10.8
47053,TN,7.25
46117,SD,10.8
47051,TN,7.25
47019,TN,7.25
47031,TN,7.25
47035,TN,7.25
46129,SD,10.8
46123,SD,10.8
47057,TN,7.25
47005,TN,7.25
47021,TN,7.25
46135,SD,10.8
47047,TN,7.25
46115,SD,10.8
47049,TN,7.25
47033,TN,7.25
47039,TN,7.25
47023,TN,7.25
47015,TN,7.25
47007,TN,7.25
47013,TN,7.25
47025,TN,7.25
46127,SD,10.8
46111,SD,10.8
46125,SD,10.8
46121,SD,10.8
46119,SD,10.8
46105,SD,10.8
47027,TN,7.25
46107,SD,10.8
46137,SD,10.8
47063,TN,7.25
47115,TN,7.25
47125,TN,7.25
47081,TN,7.25
47087,TN,7.25
47085,TN,7.25
47121,TN,7.25
47113,TN,7.25
47083,TN,7.25
47089,TN,7.25
47071,TN,7.25
47073,TN,7.25
47097,TN,7.25
47117,TN,7.25
47091,TN,7.25
47109,TN,7.25
47077,TN,7.25
47111,TN,7.25
47101,TN,7.25
47095,TN,7.25
47067,TN,7.25
47163,TN,7.25
47147,TN,7.25
47139,TN,7.25
47149,TN,7.25
47153,TN,7.25
47133,TN,7.25
47169,TN,7.25
47137,TN,7.25
48025,TX,7.25
47177,TN,7.25
47179,TN,7.25
48003,TX,7.25
47187,TN,7.25
48009,TX,7.25
48023,TX,7.25
47175,TN,7.25
48037,TX,7.25
48035,TX,7.25
48031,TX,7.25
48045,TX,7.25
48033,TX,7.25
48047,TX,7.25
48043,TX,7.25
48067,TX,7.25
48097,TX,7.25
48079,TX,7.25
48089,TX,7.25
48075,TX,7.25
48101,TX,7.25
48081,TX,7.25
48093,TX,7.25
48063,TX,7.25
48083,TX,7.25
48103,TX,7.25
48107,TX,7.25
48087,TX,7.25
48109,TX,7.25
48065,TX,7.25
48095,TX,7.25
48105,TX,7.25
48119,TX,7.25
48151,TX,7.25
48123,TX,7.25
48153,TX,7.25
48145,TX,7.25
48127,TX,7.25
48155,TX,7.25
48161,TX,7.25
48179,TX,7.25
48159,TX,7.25
48193,TX,7.25
48173,TX,7.25
48169,TX,7.25
48191,TX,7.25
48197,TX,7.25
48211,TX,7.25
48205,TX,7.25
